Date	        Open	High	Low	Close	Volume
8/20/2013	38.35	38.58	37.69	38.41	57995200
8/19/2013	37.43	38.28	37.14	37.81	57609600
8/16/2013	36.97	37.49	36.9	37.08	45840800
8/15/2013	36.36	37.07	36.02	36.56	56521100
8/14/2013	36.83	37.55	36.62	36.65	48423900
8/13/2013	38.24	38.32	36.77	37.02	65379200
8/12/2013	38.2	38.5	38.1	38.22	31161000
8/9/2013	38.59	38.74	38.01	38.5	43532300
8/8/2013	39.13	39.19	38.43	38.54	41301000
8/7/2013	38.61	38.94	37.7	38.87	68854800
8/6/2013	39.11	39.25	37.94	38.55	63950800
8/5/2013	38.43	39.32	38.25	39.19	79994800
8/2/2013	37.66	38.49	37.5	38.05	73058500
8/1/2013	37.3	38.29	36.92	37.49	106066500
7/31/2013	37.96	38.31	36.33	36.8	154828700
7/30/2013	35.65	37.96	35.32	37.63	173582800
7/29/2013	34.07	35.63	34.01	35.43	124718800
7/26/2013	33.77	34.73	33.56	34.01	136028900
7/25/2013	33.54	34.88	32.75	34.36	365457900
7/24/2013	26.32	26.53	26.05	26.51	82635600
7/23/2013	26.1	26.3	25.97	26.13	28221600
7/22/2013	25.99	26.13	25.72	26.05	27526300
7/19/2013	25.82	26.11	25.6	25.88	46539700
7/18/2013	26.75	26.77	26.12	26.18	24806900
7/17/2013	26.37	26.78	26.3	26.65	21518500
7/16/2013	26.39	26.75	26.01	26.32	30817600
7/15/2013	25.93	26.43	25.65	26.28	24234000
7/12/2013	25.74	25.93	25.55	25.91	16537900
7/11/2013	25.96	26	25.45	25.81	26777400
7/10/2013	25.58	25.83	25.47	25.8	26721800
7/9/2013	25.07	25.49	25.03	25.48	30387900
7/8/2013	24.47	25.04	24.42	24.71	27064600
7/5/2013	24.65	24.66	24.2	24.37	20229500
7/3/2013	24.22	24.71	24.15	24.52	10404400
7/2/2013	24.7	24.77	24.3	24.41	18394100
7/1/2013	24.97	25.06	24.62	24.81	20582200
6/28/2013	24.68	24.98	24.42	24.88	96778900
6/27/2013	24.24	24.84	24.21	24.66	34694100
6/26/2013	24.51	24.65	23.99	24.16	29890300
6/25/2013	24.14	24.43	24.04	24.25	24713200
6/24/2013	23.95	24.11	23.38	23.94	40626000
6/21/2013	24.59	24.7	24.05	24.53	45833900
6/20/2013	24.28	24.75	23.65	23.9	42765600
6/19/2013	24.2	25.19	24.1	24.31	31790600
6/18/2013	24.09	24.69	24.08	24.21	36709100
6/17/2013	23.91	24.25	23.75	24.02	33664500
6/14/2013	23.56	23.89	23.26	23.63	30677100
